fecha,precio,moving_average
2015-01-02,88.6600036621094,0.0
2015-01-05,87.0899963378906,89.35400009155273
2015-01-06,85.8300018310547,89.69850044250488
2015-01-07,86.9700012207031,90.14900016784668
2015-01-08,87.75,90.59449996948243
2015-01-09,87.0,91.08450012207031
2015-01-12,85.7600021362305,91.57950019836426
2015-01-13,90.8899993896484,92.18199996948242
2015-01-14,88.9000015258789,92.54550018310547
2015-01-15,88.2900009155273,93.21000022888182
2015-01-16,90.7699966430664,93.90500030517576
2015-01-20,90.9599990844727,94.52650032043454
2015-01-21,90.6999969482422,95.22900047302241
2015-01-22,91.6800003051758,95.93800048828118
2015-01-23,91.8199996948242,96.5855003356933
2015-01-26,92.2099990844727,97.20100021362298
2015-01-27,91.3899993896484,97.79100036621085
2015-01-28,89.0400009155273,98.40550041198723
2015-01-29,90.2900009155273,99.12800025939937
2015-01-30,89.4400024414062,99.76850013732906
2015-02-02,90.3000030517578,100.47099990844724
2015-02-03,93.9800033569336,101.13699989318846
2015-02-04,94.8399963378906,101.56549987792968
2015-02-05,95.879997253418,101.96350021362306
2015-02-06,97.5500030517578,102.24100036621095
2015-02-09,96.9000015258789,102.5370002746582
2015-02-10,97.8099975585938,102.76950035095214
2015-02-11,98.1600036621094,103.00700035095217
2015-02-12,102.190002441406,103.34750022888186
2015-02-13,102.190002441406,103.45250015258789
2015-02-17,103.199996948242,103.6365001678467
2015-02-18,105.01000213623,103.82600021362309
2015-02-19,104.879997253418,103.9620002746583
2015-02-20,104.629997253418,104.09350051879889
2015-02-23,104.129997253418,104.29150047302255
2015-02-24,104.01000213623,104.41000061035166
2015-02-25,103.680000305176,104.47550048828137
2015-02-26,103.48999786377,104.48050041198742
2015-02-27,103.099998474121,104.5155006408692
2015-03-02,103.48999786377,104.55150070190436
2015-03-03,103.620002746582,104.64250068664558
2015-03-04,102.550003051758,104.63150062561041
2015-03-05,102.800003051758,104.74950065612795
2015-03-06,101.430000305176,104.8325004577637
2015-03-09,103.470001220703,104.9865005493164
2015-03-10,101.550003051758,105.00200042724609
2015-03-11,102.559997558594,105.14700012207031
2015-03-12,104.970001220703,105.2815002441406
2015-03-13,104.290000915527,105.28850021362305
2015-03-16,105.870002746582,105.34400024414064
2015-03-17,106.98999786377,105.24150009155275
2015-03-18,107.730003356934,105.07300033569334
2015-03-19,107.51000213623,104.84200019836423
2015-03-20,108.589996337891,104.60950012207033
2015-03-23,106.5,104.35950012207036
2015-03-24,105.319999694824,104.21250000000006
2015-03-25,103.779998779297,104.15900001525885
2015-03-26,104.190002441406,104.23300018310549
2015-03-27,103.819999694824,104.33500022888191
2015-03-30,105.309997558594,104.40850028991706
2015-03-31,103.400001525879,104.42650032043461
2015-04-01,104.910003662109,104.53950042724611
2015-04-02,104.459999084473,104.50900039672857
2015-04-06,104.51000213623,104.49700050354006
2015-04-07,103.779998779297,104.55800056457524
2015-04-08,104.449996948242,104.61550064086921
2015-04-09,105.25,104.5920009613038
2015-04-10,105.110000610352,104.5765010833741
2015-04-13,105.400001525879,104.65250091552741
2015-04-14,103.819999694824,104.76100082397465
2015-04-15,103.620002746582,104.8740009307862
2015-04-16,103.110000610352,104.94150085449226
2015-04-17,102.860000610352,105.07600097656254
2015-04-20,103.589996337891,105.21800079345705
2015-04-21,103.559997558594,105.39950103759763
2015-04-22,104.25,105.59350128173824
2015-04-23,105.26000213623,105.71600112915034
2015-04-24,106.230003356934,105.79650115966794
2015-04-27,105.290000915527,105.7775009155273
2015-04-28,105.669998168945,105.75000076293945
2015-04-29,105.660003662109,105.74100074768072
2015-04-30,104.300003051758,105.7250003814698
2015-05-01,104.220001220703,105.6975002288819
2015-05-04,105.730003356934,105.67400016784677
2015-05-05,104.930000305176,105.57150001525886
2015-05-06,103.980003356934,105.5044998168946
2015-05-07,104.940002441406,105.40999946594248
2015-05-08,106.629997253418,105.26499938964851
2015-05-11,107.569999694824,105.00449943542485
2015-05-12,106.080001831055,104.72149963378914
2015-05-13,104.970001220703,104.58849945068361
2015-05-14,105.800003051758,104.56199951171875
2015-05-15,105.699996948242,104.45699920654297
2015-05-18,107.220001220703,104.3484992980957
2015-05-19,107.440002441406,104.18499908447265
2015-05-20,106.699996948242,104.0149990081787
2015-05-21,106.870002746582,103.94999923706055
2015-05-22,105.849998474121,103.84349899291995
2015-05-26,104.73999786377,103.84349899291995
2015-05-27,105.48999786377,103.86299896240234
2015-05-28,105.339996337891,103.78599891662596
2015-05-29,103.75,103.6849990844726
2015-06-01,103.75,103.67749900817864
2015-06-02,103.680000305176,103.52049903869624
2015-06-03,103.589996337891,103.35899887084956
2015-06-04,102.089996337891,103.2519989013671
2015-06-05,102.040000915527,103.2514991760253
2015-06-08,101.419998168945,103.22999916076654
2015-06-09,101.910003662109,103.22099914550782
2015-06-10,103.419998168945,103.13899879455565
2015-06-11,104.440002441406,103.01249885559079
2015-06-12,103.699996948242,102.94849891662595
2015-06-15,103.529998779297,102.95099906921382
2015-06-16,103.949996948242,102.99349899291988
2015-06-17,104.040000915527,103.0279991149902
2015-06-18,105.400001525879,103.0899990081787
2015-06-19,104.73999786377,103.05899887084959
2015-06-22,105.849998474121,103.11499900817869
2015-06-23,105.129997253418,103.11949920654294
2015-06-24,103.949996948242,103.18249931335447
2015-06-25,103.319999694824,103.30999946594235
2015-06-26,103.599998474121,103.42299957275391
2015-06-29,100.610000610352,103.22249946594238
2015-06-30,100.449996948242,103.11199951171875
2015-07-01,101.449996948242,103.16349983215332
2015-07-02,102.080001831055,103.23299980163578
